model_type,parameters,accuracy,auc-roc,auc-pr,time,"precision,recall,f1 at_1","precision,recall,f1 at_2","precision,recall,f1 at_5","precision,recall,f1 at_10","precision,recall,f1 at_20","precision,recall,f1 at_30","precision,recall,f1 at_50"
DT,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_split': 10}",0.8468789808917198,0.716796108888366,0.3725728061760598,0.22353100776672363,"(1.0, 0.0642504118616145, 0.12074303405572755)","(1.0, 0.128500823723229, 0.22773722627737225)","(0.673469387755102, 0.21746293245469522, 0.32876712328767127)","(0.5076530612244898, 0.32784184514003295, 0.3983983983983984)","(0.4191082802547771, 0.5420098846787479, 0.47270114942528735)","(0.33050127442650806, 0.6408566721581549, 0.4360986547085202)","(0.2222222222222222, 0.7182866556836903, 0.33943168548073177)"
DT,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 2}",0.818343949044586,0.6504230829194856,0.2600860505122957,0.2523539066314697,"(1.0, 0.0642504118616145, 0.12074303405572755)","(1.0, 0.128500823723229, 0.22773722627737225)","(1.0, 0.3228995057660626, 0.4881693648816936)","(0.6275510204081632, 0.4052718286655684, 0.49249249249249244)","(0.5222929936305732, 0.6754530477759473, 0.589080459770115)","(0.5157179269328802, 1.0, 0.6804932735426009)","(0.30937818552497454, 1.0, 0.47255741533670687)"
DT,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 5}",0.821656050955414,0.6711730633070279,0.2816935090197705,0.2508080005645752,"(1.0, 0.0642504118616145, 0.12074303405572755)","(1.0, 0.128500823723229, 0.22773722627737225)","(1.0, 0.3228995057660626, 0.4881693648816936)","(0.5459183673469388, 0.3525535420098847, 0.4284284284284285)","(0.4369426751592357, 0.5650741350906096, 0.492816091954023)","(0.5157179269328802, 1.0, 0.6804932735426009)","(0.30937818552497454, 1.0, 0.47255741533670687)"
DT,"{'criterion': 'entropy', 'max_depth': 50, 'min_samples_split': 10}",0.8285350318471337,0.7074360013227237,0.3176399646172766,0.24673008918762207,"(1.0, 0.0642504118616145, 0.12074303405572755)","(1.0, 0.128500823723229, 0.22773722627737225)","(0.7653061224489796, 0.2471169686985173, 0.37359900373599003)","(0.4872448979591837, 0.31466227347611203, 0.3823823823823824)","(0.39490445859872614, 0.5107084019769358, 0.44540229885057475)","(0.5131690739167375, 0.9950576606260296, 0.6771300448430493)","(0.30937818552497454, 1.0, 0.47255741533670687)"
DT,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 2}",0.8196178343949044,0.6526258846708037,0.26260613072027633,0.2668449878692627,"(1.0, 0.0642504118616145, 0.12074303405572755)","(1.0, 0.128500823723229, 0.22773722627737225)","(1.0, 0.3228995057660626, 0.4881693648816936)","(0.6326530612244898, 0.4085667215815486, 0.4964964964964965)","(0.5273885350318471, 0.6820428336079077, 0.5948275862068966)","(0.5157179269328802, 1.0, 0.6804932735426009)","(0.30937818552497454, 1.0, 0.47255741533670687)"
DT,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 5}",0.8262420382165605,0.6779289343831709,0.2895098482187692,0.24400901794433594,"(1.0, 0.0642504118616145, 0.12074303405572755)","(1.0, 0.128500823723229, 0.22773722627737225)","(1.0, 0.3228995057660626, 0.4881693648816936)","(0.5561224489795918, 0.35914332784184516, 0.4364364364364365)","(0.44331210191082804, 0.5733113673805601, 0.5)","(0.5157179269328802, 1.0, 0.6804932735426009)","(0.30937818552497454, 1.0, 0.47255741533670687)"
DT,"{'criterion': 'entropy', 'max_depth': 100, 'min_samples_split': 10}",0.8270063694267515,0.701624507330094,0.3139472466729265,0.24541711807250977,"(1.0, 0.0642504118616145, 0.12074303405572755)","(1.0, 0.128500823723229, 0.22773722627737225)","(0.7704081632653061, 0.2487644151565074, 0.37608966376089664)","(0.47959183673469385, 0.30971993410214166, 0.37637637637637633)","(0.3923566878980892, 0.5074135090609555, 0.44252873563218387)","(0.5097706032285472, 0.9884678747940692, 0.672645739910314)","(0.30937818552497454, 1.0, 0.47255741533670687)"
KNN,"{'algorithm': 'auto', 'n_neighbors': 1, 'weights': 'uniform'}",0.8163057324840765,0.6181000145976268,0.23242880120023712,1.013132095336914,"(1.0, 0.0642504118616145, 0.12074303405572755)","(1.0, 0.128500823723229, 0.22773722627737225)","(1.0, 0.3228995057660626, 0.4881693648816936)","(0.5127551020408163, 0.3311367380560132, 0.40240240240240244)","(0.5987261146496815, 0.7742998352553542, 0.675287356321839)","(0.5157179269328802, 1.0, 0.6804932735426009)","(0.30937818552497454, 1.0, 0.47255741533670687)"
KNN,"{'algorithm': 'auto', 'n_neighbors': 1, 'weights': 'distance'}",0.8163057324840765,0.6181000145976268,0.23242880120023712,1.0047481060028076,"(1.0, 0.0642504118616145, 0.12074303405572755)","(1.0, 0.128500823723229, 0.22773722627737225)","(1.0, 0.3228995057660626, 0.4881693648816936)","(0.5127551020408163, 0.3311367380560132, 0.40240240240240244)","(0.5987261146496815, 0.7742998352553542, 0.675287356321839)","(0.5157179269328802, 1.0, 0.6804932735426009)","(0.30937818552497454, 1.0, 0.47255741533670687)"
KNN,"{'algorithm': 'auto', 'n_neighbors': 5, 'weights': 'uniform'}",0.8585987261146497,0.7283242619509381,0.37270002712726635,1.3596270084381104,"(0.8717948717948718, 0.05601317957166392, 0.10526315789473684)","(0.8974358974358975, 0.11532125205930807, 0.20437956204379565)","(0.7857142857142857, 0.25370675453047775, 0.3835616438356164)","(0.6658163265306123, 0.4299835255354201, 0.5225225225225225)","(0.5375796178343949, 0.6952224052718287, 0.6063218390804598)","(0.35853865760407816, 0.6952224052718287, 0.4730941704035874)","(0.30937818552497454, 1.0, 0.47255741533670687)"
